Team,Points,Wins,Losses,Scored,Allowed,Games,Points_Diff,Pts_Allowed_Avg,Abbr,FGA_Avg,FGM_Avg,FGA_Tot,FGM_Tot,2PA_Avg,2PM_Avg,2PA_Tot,2PM_Tot,3PA_Avg,3PM_Avg,3PA_Tot,3PM_Tot,FTA_Avg,FTM_Avg,FTA_Tot,FTM_Tot,ORB_Avg,DRB_Avg,ORB_Tot,DRB_Tot,AST_Avg,AST_Tot,TO_Avg,TO_Tot,STL_Avg,STL_Tot,BLK_Avg,BLK_Tot,PFD_Avg,PFD_Tot,PTS_Avg,PTS_Tot,FG_%,2P_%,3P_%,FT_%,Pts_2P_%,Pts_3P_%,Pts_FT_%,TRB_Avg,ASS_TO_Ratio,eFG_%,TS_%,FT_rate,ORB_%,DRB_%,POSS,Off_Rating,Def_Rating,TO_%,Net_Rating
KK Šljakeri,10,5,0,300,227,5,73,45.4,KKŠ,57.0,22.0,285.0,110.0,31.4,16.2,157.0,81.0,25.6,5.8,128.0,29.0,21.8,10.2,109.0,51.0,13.0,28.2,65.0,141.0,8.8,44.0,12.4,62.0,9.6,48.0,3.0,15.0,20.0,100.0,60.0,300.0,38.6,51.6,22.7,46.8,54.0,29.0,17.0,41.2,0.7,43.68,45.05,38.25,34.05,65.95,66.0,90.9,68.8,18.79,22.1
Belgrade Bulls,8,4,0,303,230,4,73,57.5,BEL,62.3,30.8,249.0,123.0,36.8,21.3,147.0,85.0,25.5,9.5,102.0,38.0,9.0,4.8,36.0,19.0,7.5,28.3,30.0,113.0,18.5,74.0,9.0,36.0,7.5,30.0,0.8,3.0,15.0,60.0,75.8,303.0,49.4,57.9,37.3,53.3,56.1,37.6,6.3,35.8,2.1,57.06,57.2,14.45,22.95,77.05,67.8,111.8,84.8,13.27,27.0
KK Savski,8,3,2,332,317,5,15,63.4,SAV,63.8,25.4,319.0,127.0,39.6,19.2,198.0,96.0,24.2,6.2,121.0,31.0,18.8,9.4,94.0,47.0,11.2,22.0,56.0,110.0,13.6,68.0,8.6,43.0,9.4,47.0,1.0,5.0,15.8,79.0,66.4,332.0,39.8,48.5,25.6,50.0,57.8,28.0,14.2,33.2,1.6,44.67,46.07,29.47,30.78,69.22,69.5,95.5,91.2,12.37,4.3
Fireflies,8,3,2,312,298,5,14,59.6,FRS,65.2,25.4,326.0,127.0,38.6,18.8,193.0,94.0,26.6,6.6,133.0,33.0,9.4,5.0,47.0,25.0,10.8,26.4,54.0,132.0,11.2,56.0,12.2,61.0,7.6,38.0,1.6,8.0,13.4,67.0,62.4,312.0,39.0,48.7,24.8,53.2,60.3,31.7,8.0,37.2,0.9,44.02,45.0,14.42,30.01,69.99,70.7,88.3,84.3,17.26,4.0
Pistacci,7,3,1,309,252,4,57,63.0,PST,63.8,28.3,255.0,113.0,33.5,20.5,134.0,82.0,30.3,7.8,121.0,31.0,21.0,13.0,84.0,52.0,11.3,29.3,45.0,117.0,15.8,63.0,12.0,48.0,6.3,25.0,2.5,10.0,17.8,71.0,77.3,309.0,44.4,61.2,25.7,61.9,53.1,30.1,16.8,40.6,1.3,50.47,52.92,32.92,30.97,69.03,73.7,104.9,85.5,16.28,19.4
Ravens Belgrade,7,2,3,296,278,5,18,55.6,RVB,63.6,21.4,318.0,107.0,36.6,14.4,183.0,72.0,27.0,7.0,135.0,35.0,17.6,9.4,88.0,47.0,14.2,32.0,71.0,160.0,9.4,47.0,14.6,73.0,7.8,39.0,1.6,8.0,16.2,81.0,59.2,296.0,33.6,39.3,25.9,53.4,48.6,35.5,15.9,46.2,0.6,39.15,41.49,27.67,36.06,63.94,71.7,82.6,77.5,20.36,5.1
Dva Telefona,5,2,1,209,196,3,13,65.3,DVA,56.3,27.0,169.0,81.0,36.3,20.7,109.0,62.0,20.0,6.3,60.0,19.0,17.0,9.3,51.0,28.0,7.7,31.7,23.0,95.0,16.0,48.0,10.7,32.0,7.0,21.0,4.0,12.0,19.0,57.0,69.7,209.0,48.0,57.0,31.5,54.7,59.3,27.3,13.4,39.4,1.5,53.55,54.64,30.2,23.42,76.58,66.8,104.3,97.8,16.02,6.5
KK Tufe,5,1,3,260,278,4,-18,69.5,TUF,59.3,24.3,237.0,97.0,36.0,19.5,144.0,78.0,23.3,4.8,93.0,19.0,19.3,11.8,77.0,47.0,10.0,21.0,40.0,84.0,8.3,33.0,13.8,55.0,6.3,25.0,2.5,10.0,20.5,82.0,65.0,260.0,41.0,54.2,20.6,61.1,60.0,21.9,18.1,31.0,0.6,45.03,47.94,32.55,28.42,71.58,71.6,90.8,97.1,19.27,-6.3
KK Tap 011,4,0,4,196,256,4,-60,64.0,KT0,48.8,17.8,195.0,71.0,32.0,13.3,128.0,53.0,16.8,4.5,67.0,18.0,14.8,9.0,59.0,36.0,7.0,20.3,28.0,81.0,6.8,27.0,13.3,53.0,7.0,28.0,0.8,3.0,12.3,49.0,49.0,196.0,36.5,41.6,26.8,60.8,54.1,27.6,18.4,27.3,0.5,41.09,44.29,30.33,21.75,78.25,61.6,79.5,103.9,21.59,-24.4
Phantom Troupe,3,0,3,144,204,3,-60,68.0,PHT,57.7,16.7,173.0,50.0,30.0,12.0,90.0,36.0,27.7,4.7,83.0,14.0,16.0,10.0,48.0,30.0,9.3,25.3,28.0,76.0,7.7,23.0,15.0,45.0,6.7,20.0,1.7,5.0,14.0,42.0,48.0,144.0,28.9,40.0,17.0,62.5,50.0,29.2,20.8,34.6,0.5,33.02,37.07,27.73,26.97,73.03,70.4,68.2,96.6,21.31,-28.4
Koza Nostra,3,0,3,175,271,3,-96,90.3,KOZ,65.3,24.0,196.0,72.0,34.3,15.7,103.0,47.0,31.0,8.3,93.0,25.0,6.7,2.0,20.0,6.0,9.0,18.7,27.0,56.0,11.7,35.0,12.3,37.0,9.0,27.0,0.0,0.0,8.7,26.0,58.3,175.0,36.8,45.8,26.8,29.9,53.7,42.9,3.4,27.7,1.0,43.11,42.71,10.26,26.33,73.67,71.5,81.5,126.3,17.2,-44.8
KK Bricklayers,1,0,1,49,78,1,-29,78.0,BRC,58.0,18.0,58.0,18.0,24.0,9.0,24.0,9.0,34.0,9.0,34.0,9.0,11.0,4.0,11.0,4.0,9.0,19.0,9.0,19.0,9.0,9.0,12.0,12.0,5.0,5.0,2.0,2.0,10.0,10.0,49.0,49.0,31.0,37.5,26.5,36.4,36.7,55.1,8.2,28.0,0.8,38.79,38.99,18.97,26.33,73.67,65.8,74.5,118.5,18.24,-44.0
